MSGPS_L_0244,134.775,-44.245444444444445,58.374264417247126,26.751586125611812,2020.691927606545,15.2482224316
MSGPS_L_0265,134.3135,-45.18519444444444,26.416230539199002,40.01352839806607,2020.6921110476917,12.6461100203
MSGPS_L_0240,132.9210833333333,-45.359944444444444,50.9085654208825,26.61985152744023,2020.6919663876206,14.0498798656
MSGPS_L_0291,135.9175,-44.52122222222222,38.346729522935334,26.370942401916736,2020.6921540778794,12.3856336653
0408-658,62.08491666666668,-65.75252777777777,24.911774711714504,39.783294111101654,2020.6917803145614,12.3958258614
0823-500,126.36195833333333,-50.17736111111111,25.873591390687995,40.21250654122407,2020.6920677955354,12.3026690449
3C138,80.29120833333333,16.63947222222222,28.822227195797325,53.926046738883464,2020.691799118468,15.5195406913
MSGPS_L_0285,133.129,-46.209583333333335,35.8260154451651,25.81659209908008,2020.69221343861,11.7113594853
0823-500,126.36195833333333,-50.17736111111111,45.01697034765909,26.061394930685356,2020.6919857940134,12.9889378596
MSGPS_L_0263,133.37574999999998,-45.74238888888889,38.794758293693185,26.258960043911472,2020.6921303906647,12.2374626816
MSGPS_L_0268,135.45595833333337,-44.149027777777775,50.39848658854023,26.754683240555472,2020.6919900431255,14.0795005277
MSGPS_L_0241,133.16575,-44.893166666666666,68.01529315482983,26.66478265183442,2020.6918649479962,16.4564522766
MSGPS_L_0267,135.23295833333333,-44.620472222222226,41.46672603586555,26.554424626892796,2020.6920916095892,12.8218732688
0823-500,126.36195833333333,-50.17736111111111,64.29600850818849,26.188635786297,2020.6918203640287,15.75281005
MSGPS_L_0269,136.13458333333332,-44.0485,43.20424330609327,26.678820997587938,2020.6920720763574,13.0740571188
MSGPS_L_0243,134.09179166666667,-44.337722222222226,74.97401548050301,26.70737435424055,2020.6918455733132,17.286274859
0823-500,126.36195833333333,-50.17736111111111,25.57854909008481,37.11895781185628,2020.6921497970575,11.9603660436
MSGPS_L_0264,133.61837500000001,-45.27466666666667,45.23935879557645,26.58349236232267,2020.6920290461696,13.5742465277
0823-500,126.36195833333333,-50.17736111111111,35.18716389887861,25.2493295794576,2020.6922320839678,11.3627536755
MSGPS_L_0239,132.22179166666666,-45.440999999999995,62.302108894001734,26.614390115050462,2020.691884354389,15.9401952853
0823-500,126.36195833333333,-50.17736111111111,52.39667418243915,26.14185223742362,2020.6919037290718,14.1360207113
MSGPS_L_0242,133.857,-44.806444444444445,54.29009674273286,26.68436434010838,2020.6919470129378,14.6142247805
MSGPS_L_0287,134.07708333333332,-45.65438888888889,36.532782063700076,26.008359123564535,2020.692192985794,11.8556128712
MSGPS_L_0289,135.00641666666667,-45.0915,37.354665239683044,26.191706956408062,2020.6921736111112,11.9869907017
J1130-1449,172.529375,-14.824222222222222,69.77183348387943,30.269928512310322,2020.6922363647898,17.7212450308
MSGPS_L_0246,135.67554166666667,-43.67722222222222,63.38758900401044,26.816365201229836,2020.6919080416033,16.0475818154
0823-500,126.36195833333333,-50.17736111111111,64.29600850818849,26.188635786297,2020.6918248985287,15.75281005
MSGPS_L_0245,135.00033333333334,-43.77494444444444,83.80059276426708,26.67326205375287,2020.6918259766617,18.4618741364
MSGPS_L_0262,132.67229166666667,-45.82616666666667,43.26897477366737,26.471915591865102,2020.6920484208524,13.0778962173
MSGPS_L_0266,134.54612500000002,-44.71552777777778,47.597450751643244,26.67128434884347,2020.692009608067,13.7813421496
MSGPS_L_0120,128.14237500000002,-44.527944444444444,34.04797126611834,23.965875995698653,2021.3459574454591,10.954079764
MSGPS_L_0187,128.4130416666667,-46.239361111111116,39.99582564535723,23.8450817464143,2021.3458752219685,12.010884112
MSGPS_L_0196,132.96179166666667,-44.04355555555556,24.114469678625,32.6112714264771,2021.346020865043,10.8933287915
MSGPS_L_1470,171.82591666666667,-56.90977777777778,35.70997161352658,23.306396823587285,2021.3462884956875,11.1707234847
MSGPS_L_0366,139.97004166666667,-43.83847222222222,33.073682814645224,24.102203393800174,2021.3460646562658,10.7945135369
MSGPS_L_0872,152.25512500000002,-50.95566666666667,23.567292936871496,34.43220860887173,2021.3461473236935,11.0211694523
MSGPS_L_0119,127.85945833333335,-44.98308333333333,35.0723751535307,23.834020468849648,2021.3459381024861,11.1303224795
MSGPS_L_0164,127.98954166666668,-45.83905555555556,41.50447098877063,23.973348144931748,2021.3458559741248,12.2657648821
MSGPS_L_1700,180.77808333333334,-58.174638888888886,36.15544959996926,23.23118817528478,2021.3463516298834,11.0429474825
MSGPS_L_2193,203.94595833333335,-63.95702777777778,23.04458857241736,37.13111605588266,2021.3465364662609,11.2538936478
MSGPS_L_0142,128.27625,-45.383833333333335,36.57051335168612,23.687699418774066,2021.345918759513,11.2086171043
MSGPS_L_0168,129.95145833333333,-44.80488888888888,24.078618314765286,32.51960165492731,2021.3460015537798,10.7082801592
MSGPS_L_1056,157.65708333333336,-53.13386111111111,23.454890234665108,34.82099290348511,2021.3461863901573,11.1623101824
MSGPS_L_1379,169.13762500000004,-55.914027777777775,35.48787341043222,23.330714822302067,2021.3462690892948,11.2662530045
MSGPS_L_2083,197.37333333333333,-62.146055555555556,36.996685613685855,23.070951138896586,2021.3464778031455,11.2237626841
MSGPS_L_1631,178.027375,-57.86536111111111,36.03882626609469,23.260270597228573,2021.3463322552004,11.2514548302
MSGPS_L_0712,148.66433333333336,-48.6695,23.73369775991421,33.97258665224193,2021.3461230974126,10.9669479218
MSGPS_L_1904,189.60941666666665,-60.023944444444446,36.691817616613214,23.14889077326597,2021.3464150177574,11.3397473823
